TXN_ID,ACC_ID,TXN_DATE,AMOUNT
TXN_2000,9008,2025-12-14,4950
TXN_2001,9018,2025-09-12,10158
TXN_2002,9008,01/11/2025,11293
TXN_2003,9013,2025-09-04,7971
TXN_2004,9004,19/04/2025,1342
TXN_2005,9007,2025-07-03,483
TXN_2006,9021,11/03/2025,6072
TXN_2007,9011,26/03/2025,
TXN_2008,9004,27/04/2025,4236
TXN_2009,9013,28/09/2025,2253
TXN_2010,9001,2025-01-01,3114
TXN_2011,9004,03/01/2025,11040
TXN_2012,9006,02/09/2025,11713
TXN_2013,9013,15/06/2025,6734
TXN_2014,9021,16/12/2025,11111
TXN_2015,9003,2025-05-09,7748
TXN_2016,9001,2025-02-09,5254
TXN_2017,9004,2025-02-18,10330
TXN_2018,9011,2025-05-19,8678
TXN_2019,9014,2025-01-23,10174
TXN_2020,9002,2025-01-18,5210
TXN_2021,9014,2025-01-28,11166
TXN_2022,9004,10/08/2025,3076
TXN_2023,9021,2025-07-01,7596
TXN_2024,9022,2025-09-11,2735
TXN_2025,9002,19/07/2025,11700
TXN_2026,9009,2025-09-16,9420
TXN_2027,9018,05/11/2025,5399
TXN_2028,9004,2025-01-15,8848
TXN_2029,9017,2025-10-13,1532
TXN_2030,9002,2025-01-02,7331
TXN_2031,9008,27/10/2025,1684
TXN_2032,9004,2025-08-12,3110
TXN_2033,9004,18/12/2025,11354
TXN_2034,9008,2025-07-27,8647
TXN_2035,9020,22/11/2025,3324
TXN_2036,9003,2025-10-28,2333
TXN_2037,9003,15/02/2025,3628
TXN_2038,9001,06/11/2025,6496
TXN_2039,9021,2025-06-08,4444
TXN_2040,9004,2025-07-16,280
TXN_2041,9011,17/12/2025,987
TXN_2042,9014,15/03/2025,2092
TXN_2043,9014,03/02/2025,1403
TXN_2044,9013,2025-09-01,9223
TXN_2045,9009,28/02/2025,2099
TXN_2046,9014,27/04/2025,579
TXN_2047,9015,21/10/2025,11597
TXN_2048,9014,18/11/2025,2929
TXN_2049,9008,16/10/2025,5146
TXN_2050,9018,20/01/2025,6222
TXN_2051,9021,10/03/2025,6323
TXN_2052,9020,2025-01-17,730
TXN_2053,9002,2025-05-14,3406
TXN_2054,9001,2025-06-15,4221
