TXN_ID,ACC_ID,TXN_DATE,AMOUNT
TXN_3000,9002,2025-11-05,5967
TXN_3001,9001,21/11/2025,482
TXN_3002,9004,02/03/2025,11087
TXN_3003,9008,2025-12-17,7955
TXN_3004,9010,11/09/2025,11634
TXN_3005,9011,14/01/2025,11105
TXN_3006,9012,24/07/2025,1344
TXN_3007,9006,2025-06-18,282
TXN_3008,9019,24/01/2025,3007
TXN_3009,9006,12/07/2025,4264
TXN_3010,9007,2025-01-16,4405
TXN_3011,9016,2025-12-25,10247
TXN_3012,9003,2025-11-28,7560
TXN_3013,9013,2025-07-22,7325
TXN_3014,9014,2025-12-08,6106
TXN_3015,9016,2025-04-25,10969
TXN_3016,9002,2025-02-07,10658
TXN_3017,9022,2025-09-20,11515
TXN_3018,9019,11/08/2025,9741
TXN_3019,9021,2025-08-26,6748
TXN_3020,9015,2025-10-14,1718
TXN_3021,9008,2025-12-04,4260
TXN_3022,9009,25/05/2025,2417
TXN_3023,9012,2025-02-23,7576
TXN_3024,9021,2025-10-13,2878
TXN_3025,9020,2025-04-14,1285
TXN_3026,9006,2025-11-11,2728
TXN_3027,9021,2025-12-15,8712
TXN_3028,9002,2025-08-02,8890
TXN_3029,9014,24/10/2025,6107
TXN_3030,9010,2025-12-15,1343
TXN_3031,9009,21/06/2025,9354
TXN_3032,9004,21/07/2025,7210
TXN_3033,9013,2025-02-09,9299
TXN_3034,9020,2025-01-28,6117
TXN_3035,9014,06/06/2025,11364
TXN_3036,9021,2025-01-02,2969
TXN_3037,9019,2025-10-02,7754
TXN_3038,9012,28/05/2025,10891
TXN_3039,9012,2025-02-21,4235
TXN_3040,9015,2025-10-19,11211
TXN_3041,9010,2025-09-28,5746
TXN_3042,9015,2025-06-12,4822
TXN_3043,9018,01/06/2025,9740
TXN_3044,9019,06/04/2025,5463
TXN_3045,9022,04/06/2025,1949
TXN_3046,9009,08/03/2025,3073
TXN_3047,9001,21/03/2025,3364
TXN_3048,9019,2025-06-06,
TXN_3049,9016,2025-01-15,8048
TXN_3050,9019,2025-09-01,3117
TXN_3051,9017,2025-08-05,5299
TXN_3052,9019,02/07/2025,2540
TXN_3053,9013,2025-07-16,6871
TXN_3054,9020,2025-10-01,11630
TXN_3055,9009,07/10/2025,11854
TXN_3056,9016,08/06/2025,6092
TXN_3057,9019,2025-10-28,332
TXN_3058,9004,2025-04-05,1435
TXN_3059,9016,24/01/2025,6256
